SMILES,Set,Actual,Predicted,ALogPS_logS,Mi:(Dragon7),nBM:(Dragon7),PCR:(Dragon7),VE2_Dz(Z):(Dragon7),VR2_Dz(Z):(Dragon7),SpDiam_B(m):(Dragon7),EE_B(m):(Dragon7),AVS_B(v):(Dragon7),SpPosA_B(v):(Dragon7),SpMax_B(v):(Dragon7),SpPosA_B(p):(Dragon7),SpMax_B(p):(Dragon7),EE_B(s):(Dragon7),GATS1i:(Dragon7),SpMax1_Bh(v):(Dragon7),SpMax4_Bh(s):(Dragon7),SpMin1_Bh(e):(Dragon7),SpMax_EA(bo):(Dragon7),TDB01v:(Dragon7),TDB03v:(Dragon7),Uc:(Dragon7),MLOGP:(Dragon7),ALOGP:(Dragon7),ALOGP2:(Dragon7),Residual,Standardized_Residual,Prediction_Quality
CC1(C)[C@@H]2C[C@H]1C(=C)CC2,Training,12.3,4.250628207682693,-3.33,1.128,1,1.034,0.273,1.067,5.298,4.39,3.35,1.274,3.653,1.274,3.653,5.144,1.204,3.978,3.467,2.057,3.696,0.796,1.177,1.0,3.374,2.927,8.566,8.049371792317308,0.47291330321644787,Good
COC(=O)C(C)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,Training,94.1,84.38054161019313,-5.4,1.112,13,1.358,0.19,1.025,5.68,5.523,3.395,1.282,3.726,1.266,3.722,7.784,1.223,3.882,4.648,1.9,3.902,0.937,1.695,3.807,3.66,5.001,25.01,9.71945838980686,0.5710335279810848,Good
CCCCCCCCCCCCCC(=O)OCC(O)CO,Training,38.1,50.86581546130896,-4.09,1.144,1,1.015,0.199,0.932,4.552,4.983,2.946,1.185,3.189,1.153,3.128,7.995,1.576,3.703,4.394,1.832,2.839,0.698,0.841,1.0,3.806,4.656,21.68,-12.76581546130896,-0.7500118163036441,Good
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,Training,98.4,71.81211232487995,-5.73,1.134,3,1.116,0.209,0.976,4.875,4.989,3.133,1.238,3.458,1.21,3.407,8.195,1.423,3.762,4.26,1.832,3.295,0.758,0.944,2.0,4.586,4.891,23.92,26.587887675120058,1.5620803847065297,Good
CCC\C=C\C=O,Training,52.2,31.23881140652918,-1.49,1.134,2,1.168,0.345,0.815,4.38,3.985,2.972,1.245,3.158,1.228,3.141,7.487,1.417,3.611,3.152,1.737,2.376,0.699,0.808,1.585,1.335,1.83,3.348,20.961188593470823,1.231502928780414,Good
CC1=NN(CO)C(C)=C1,Training,32.8,26.091987753163192,-1.25,1.151,5,1.224,0.262,0.97,5.114,4.41,3.237,1.257,3.65,1.223,3.61,6.586,1.536,3.801,3.659,1.643,3.962,0.709,1.314,2.585,0.444,0.351,0.123,6.708012246836805,0.39410631183613326,Good
CC\C=C/CCOC(C)=O,Training,14.0,8.411649595995936,-2.16,1.139,2,1.115,0.291,0.865,4.496,4.349,2.976,1.221,3.159,1.186,3.121,7.53,1.595,3.621,3.822,1.745,2.713,0.691,0.913,1.585,1.953,1.818,3.304,5.588350404004064,0.32832441055970957,Good
CCCCC\C=C/CCC=O,Training,69.6,62.33969478974791,-3.77,1.136,2,1.124,0.27,0.876,4.295,4.363,2.987,1.237,3.136,1.224,3.131,7.509,1.45,3.681,3.77,1.805,2.317,0.702,0.829,1.585,2.642,3.233,10.45,7.260305210252085,0.42655439553891483,Good
C\C=C\C=C\CCCCCCCO,Training,61.9,61.88294304061406,-4.23,1.136,2,1.133,0.252,0.893,4.449,4.504,2.993,1.229,3.227,1.218,3.227,6.551,1.395,3.7,4.017,1.818,2.503,0.696,0.854,1.585,3.215,3.731,13.92,0.017056959385939763,0.0010021232978370527,Good
CC(=C)C(=O)OCCO.C1CC2CC1C1CC=CC21,Training,75.5,52.456050174084424,-4.22,1.121,1,1.06,0.291,1.158,4.785,4.374,3.489,1.32,3.576,1.32,3.576,4.934,1.062,3.999,3.236,1.77,3.303,0.855,0.974,1.0,3.374,2.557,6.536,23.043949825915576,1.353868439985488,Good
